ID,Text,Comment
CycleReward.ChooseTitle,Choose a Cycle Reward,Title shown at the top of the reward selection panel
CycleReward.SciencePoints.DisplayName,{0} Science Point,"{0} is the amount e.g. ""+1 Science Point"""
CycleReward.SciencePoints.PluralDisplayName,{0} Science Points,"{0} is the amount e.g. ""+150 Science Points"""
CycleReward.Resource,+{0} {1},"{0} = amount; {1} = localized good name, e.g. ""+30 Logs"""
CycleReward.Weather.DisplayName,{0} {1} Day,"{0} = signed day count e.g. ""+1""; {1} = localized season name"
CycleReward.Weather.PluralDisplayName,{0} {1} Days,"{0} = signed day count e.g. ""+3"" or ""-5""; {1} = localized season name"
CycleReward.Weather.Temperate,Temperate,Season name for the temperate season
CycleReward.Weather.Hazardous,Hazardous,Season name for the hazardous season
CycleReward.Need,{0} {1} for all {2},"{0} = signed delta; {1} = need display name; {2} = Beavers or Bots"
CycleReward.BuildingUnlock,Unlock {0},"{0} = localized building display name, e.g. ""Unlock Water Wheel"""
CycleReward.Mystery.DisplayName,??? Mystery Reward ???,Label shown on the hidden/mystery reward button
CycleReward.Mystery.RevealTitle,You received,Title shown on the mystery reward reveal popup
CycleReward.Population.Beaver.DisplayName,{0} Beaver,"{0} is the signed count e.g. ""+1 Beaver"""
CycleReward.Population.Beaver.PluralDisplayName,{0} Beavers,"{0} is the signed count e.g. ""+3 Beavers"""
CycleReward.Population.Child.DisplayName,{0} Child,"{0} is the signed count e.g. ""+1 Child"""
CycleReward.Population.Child.PluralDisplayName,{0} Children,"{0} is the signed count e.g. ""+2 Children"""
CycleReward.Population.Bot.DisplayName,{0} Bot,"{0} is the signed count e.g. ""+1 Bot"""
CycleReward.Population.Bot.PluralDisplayName,{0} Bots,"{0} is the signed count e.g. ""+2 Bots"""
